backend,pattern,run,time_s
obstore,fresh,1,4.643423790927045
obstore,fresh,2,2.5107135829748586
obstore,fresh,3,4.499895249959081
obstore,fresh,4,2.5202863339800388
obstore,fresh,5,1.8549994579516351
obstore,reused,1,1.8469980000518262
obstore,reused,2,1.5570107500534505
obstore,reused,3,1.7891540830023587
obstore,reused,4,1.3900037909625098
obstore,reused,5,1.8438325839815661
fsspec,fresh,1,4.519224832998589
fsspec,fresh,2,2.055493167019449
fsspec,fresh,3,1.4355250829830766
fsspec,fresh,4,2.4016698750201613
fsspec,fresh,5,1.5009962919866666
fsspec,reused,1,1.8210511670913547
fsspec,reused,2,1.8391577919246629
fsspec,reused,3,1.8823807920562103
fsspec,reused,4,1.56119045894593
fsspec,reused,5,1.7800849160412326
